Marion Barber,Cowboys,RB
Miles Austin,Cowboys,WR
Jason Witten,Cowboys,TE
Cowboys DEF,Cowboys,DEF
David Buehler,Cowboys,K
Eli Manning,Giants,QB
Brandon Jacobs,Giants,RB
Mario Manningham,Giants,WR
Kevin Boss,Giants,TE
Giants DEF,Giants,DEF
Lawrence Tynes,Giants,K
Kevin Kolb,Eagles,QB
Lesean Mccoy,Eagles,RB
Desean Jackson,Eagles,WR
Brent Celek,Eagles,TE
Eagles DEF,Eagles,DEF
David Akers,Eagles,K
Donovan Mcnabb,Redskins,QB
Clinton Portis,Redskins,RB
Santana Moss,Redskins,WR
Chris Cooley,Redskins,TE
Redskins DEF,Redskins,DEF
Graham Gano,Redskins,K
Jay Cutler,Bears,QB
Matt Forte,Bears,RB
Devin Hester,Bears,WR
Greg Olsen,Bears,TE
Bears DEF,Bears,DEF
Robbie Gould,Bears,K
Matt Stafford,Lions,QB
Kevin Smith,Lions,RB
Calvin Johnson,Lions,WR
Brandon Pettigrew,Lions,TE
Lions DEF,Lions,DEF
Jason Hanson,Lions,K
Aaron Rogers,Packers,QB
Ryan Grant,Packers,RB
Greg Jennings,Packers,WR
Donald Lee,Packers,TE
Packers DEF,Packers,DEF
Mason Crosby,Packers,K
Tavaris Jackson,Vikings,QB
Adrian Peterson,Vikings,RB
Percy Harvin,Vikings,WR
Visanthe Shiancoe,Vikings,TE
Vikings DEF,Vikings,DEF
Ryan Longwell,Vikings,K
Matt Ryan,Falcons,QB
Michael Turner,Falcons,RB
